Localidade;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Jandaia;11.351.391,67;12.089.396,58;16.042.144,68;16.170.824,54;14.066.934;20.904.302;38.878.329;56.514.885;39.421.769;18.033.843;34.755.017
Jaraguá;3.984.034,56;5.224.088,58;3.528.802,62;3.664.107,96;4.986.602;4.926.326;8.775.250;16.316.630;20.853.866;13.960.903;41.689.357
Jataí;553.258.084,62;484.480.786,26;459.103.864,69;549.211.478,27;609.407.074;608.514.429;668.433.790;985.737.091;1.015.164.132;463.334.278;1.218.978.822
Jaupaci;1.593.756,61;2.684.964,13;1.559.838,45;1.034.657,16;989.526;2.172.614;3.567.410;9.184.425;34.742.860;14.839.904;24.227.963
Jesúpolis;148.895,00;36.010,90;-;120.241,96;145.800;311.605;656.430;1.128.429;264.941;0;1.794.031
Joviânia;54.360.863,73;56.116.869,77;44.853.704,63;45.266.159,39;47.894.814;37.657.836;59.624.959;116.251.259;80.186.663;100.729.341;137.552.492
Jussara;23.294.503,10;20.293.688,26;25.048.090,16;44.943.000,09;60.528.990;59.243.828;42.262.540;114.234.751;92.202.038;102.531.225;166.006.493
Lagoa Santa;-;-;-;-;12.233.950;0;-;499.451;-;99.988;-
Leopoldo de Bulhões;18.164.324,71;15.383.232,53;14.116.533,70;12.709.570,29;10.128.103;12.052.599;13.705.675;47.290.975;15.401.829;5.831.245;22.156.765
Luziânia;111.590.346,42;114.466.484,32;111.837.725,08;114.917.570,76;120.417.184;134.068.562;171.950.640;183.562.644;171.228.977;168.780.055;307.148.049
Mairipotaba;5.338.432,40;6.485.168,95;8.038.315,19;7.536.394,24;9.922.081;12.131.527;17.344.693;27.813.075;39.934.088;14.922.546;35.538.454
Mambaí;1.104.082,20;845.547,80;637.561,26;1.192.995,43;1.536.325;860.887;3.708.598;6.027.119;4.106.197;8.965.105;11.484.439
Mara Rosa;6.437.568,17;5.513.111,99;3.997.212,11;5.492.700,54;9.239.458;6.183.137;3.253.262;6.966.455;11.462.970;10.769.021;22.401.925
Marzagão;786.849,59;1.507.015,68;2.096.503,76;4.456.424,78;3.246.016;1.486.473;3.206.765;10.155.362;18.795.391;2.000.000;230.249
Matrinchã;8.644.254,06;10.812.617,79;15.156.104,71;17.247.868,56;17.718.423;16.042.722;33.625.698;63.537.623;47.798.334;14.557.370;56.287.164
Maurilândia;34.825.071,78;25.362.855,28;20.306.488,58;29.153.152,83;32.204.020;31.936.013;26.780.787;37.470.178;35.511.936;25.531.319;58.772.018
Mimoso de Goiás;12.940.590,72;18.208.954,52;25.088.851,01;23.412.448,55;27.256.635;35.613.010;37.726.985;70.056.565;40.509.113;57.627.143;61.289.512
Minaçu;2.934.813,37;1.413.556,00;1.089.144,86;2.015.958,54;2.050.880;1.987.605;1.363.596;6.782.250;5.911.069;5.688.665;13.601.593
Mineiros;150.676.522,30;135.206.955,73;152.740.392,58;205.507.891,73;223.685.657;174.907.712;210.482.332;411.505.871;285.071.048;161.674.319;409.127.165
Moiporá;657.612,91;452.320,79;396.790,46;144.000,00;597.468;840.612;616.891;6.984.278;15.171.141;8.313.352;13.509.479
Monte Alegre de Goiás;388.000,00;118.833,60;888.426,00;677.399,00;147.900;1.095.302;2.725.338;9.028.124;3.976.131;24.947.484;6.436.315
Montes Claros de Goiás;49.732.813,11;35.760.922,20;41.142.721,75;40.192.062,50;43.029.427;53.585.326;71.953.176;120.759.898;154.744.030;45.165.064;188.034.577
Montividiu;216.419.452,98;238.189.877,23;224.817.188,56;296.602.005,42;395.953.615;299.624.645;299.959.974;409.172.829;346.185.797;191.212.972;375.919.547
Montividiu do Norte;7.304.751,35;5.128.745,55;1.088.599,63;1.490.000,00;1.479.965;3.478.870;4.662.800;13.482.982;14.856.203;7.960.720;8.084.129
Morrinhos;73.062.414,05;91.606.722,78;93.146.449,68;99.982.957,34;99.727.745;89.685.723;104.365.491;136.126.414;161.204.754;91.077.014;250.944.057
Morro Agudo de Goiás;-;-;-;-;243.000;0;-;373.440;-;407.730;151.164
Mossâmedes;2.117.455,14;2.457.859,18;2.862.958,94;4.106.612,23;6.918.231;10.567.649;16.236.843;24.972.733;28.676.519;20.526.520;26.778.647
Mozarlândia;725.243,00;1.443.750,00;745.600,00;333.000,00;7.439;1.549.578;3.996.509;11.937.560;9.798.244;9.957.853;19.244.296
Mundo Novo;755.404,93;726.413,46;1.813.370,20;1.064.581,05;3.321.035;8.848.108;5.652.357;12.272.082;14.626.774;4.212.500;23.701.142
Mutunópolis;648.800,00;920.150,15;552.475,50;576.506,19;1.826.470;1.354.601;1.684.761;3.612.483;2.998.110;4.027.700;15.160.997
Nazário;1.383.131,64;501.022,84;911.654,87;1.202.071,42;1.461.223;3.094.238;5.096.013;16.718.247;16.623.591;2.225.000;16.776.052
Nerópolis;11.559.560,61;740.027,62;818.560,96;3.423.535,24;5.733.411;4.429.580;4.631.640;7.057.158;11.183.673;550.570;6.847.628
Niquelândia;74.307.153,41;81.732.187,53;69.707.615,54;88.899.102,13;89.795.527;117.116.972;150.002.368;199.952.582;219.881.125;96.592.924;307.037.317
Nova América;200.000,00;200.000,00;153.747,00;-;7.813.786;0;-;-;-;0;-
Nova Aurora;676.208,16;418.086,64;772.233,17;54.068,29;150.477;182.283;240.000;-;733.595;900.000;-
Nova Crixás;23.504.260,67;19.398.727,17;19.684.200,26;36.185.961,44;38.388.902;36.580.253;42.763.045;105.870.730;135.736.136;92.577.392;260.486.480
Nova Glória;578.514,20;2.294.175,61;287.902,45;2.256.749,46;1.978.010;1.318.781;3.077.016;1.995.062;2.654.199;2.783.300;4.519.899
Nova Iguaçu de Goiás;600.115,86;1.097.084,69;666.071,48;1.358.454,38;2.906.434;457.466;622.295;1.043.697;1.489.398;4.588.200;3.604.298
Nova Roma;4.433.859,75;1.006.413,21;244.744,80;320.528,75;375.051;2.242.427;1.700.050;672.545;-;982.000;2.842.466
Nova Veneza;698.673,54;578.046,83;465.865,01;637.307,89;498.173;1.391.383;807.203;1.056.658;403.162;280.340;1.568.431
Novo Brasil;-;20.475,00;122.850,00;-;164.880;0;34.680;234.551;-;771.100;2.819.506
Novo Gama;35.540,91;-;406.100,53;489.625,27;845.997;793.784;740.775;2.583.517;-;2.500.000;2.699.803
Novo Planalto;9.794.045,36;9.829.728,73;11.184.746,29;11.028.474,30;9.301.999;11.997.711;13.025.204;44.039.977;38.256.487;16.560.970;48.283.437
Orizona;56.663.882,54;49.988.446,51;56.312.952,93;64.681.932,57;74.040.397;69.346.844;89.714.238;136.192.248;144.582.366;55.962.710;125.735.609
Ouro Verde de Goiás;701.718,06;937.375,71;700.714,41;712.552,61;975.736;275.180;662.430;593.828;544.329;454.835;1.059.424
Ouvidor;3.829.649,32;3.535.285,92;5.203.974,96;6.126.968,95;5.665.853;8.648.894;10.023.373;15.301.680;13.819.970;11.593.280;29.747.429
Padre Bernardo;61.350.774,39;50.639.146,90;67.993.521,31;60.268.904,22;81.752.491;81.753.829;112.631.587;149.814.027;114.486.444;83.312.634;185.944.419
Palestina de Goiás;16.177.272,65;16.739.489,29;14.721.235,99;21.159.654,48;24.607.377;27.948.638;33.774.601;73.744.463;76.442.126;36.816.663;62.985.648
Palmeiras de Goiás;57.243.696,01;61.270.521,72;59.331.041,01;70.719.306,16;99.181.845;177.628.337;156.759.535;284.371.338;284.764.125;95.070.888;289.582.451
Palmelo;77.864,82;47.201,37;161.597,66;356.992,05;585.702;886.801;1.938.008;1.703.650;1.749.351;588.000;2.175.565
Palminópolis;10.335.851,87;7.555.074,67;8.287.516,42;9.272.365,42;14.911.119;15.962.193;23.961.539;35.217.449;39.722.102;12.889.816;46.120.471
Panamá;10.637.159,36;10.621.075,32;12.167.631,57;15.504.710,45;11.849.456;14.501.361;17.601.776;33.254.786;35.606.449;10.410.450;33.320.788
Paranaiguara;2.619.063,90;3.035.945,86;53.376.435,52;5.258.362,41;16.218.834;5.217.434;4.837.252;14.316.723;13.670.209;15.328.425;14.311.528
Paraúna;176.864.840,10;195.398.199,25;153.447.461,43;193.405.571,21;188.949.507;206.068.232;252.168.424;408.527.181;445.445.982;141.121.932;404.847.296
Perolândia;36.223.868,58;42.534.505,73;56.255.912,40;60.462.952,78;72.523.453;84.464.191;120.517.121;181.662.617;166.304.681;98.933.758;196.608.582
Petrolina de Goiás;2.091.294,93;1.102.965,47;828.172,31;1.486.962,35;412.679;1.801.900;1.703.954;4.417.563;8.044.279;1.736.020;5.740.079
Pilar de Goiás;494.616,82;475.845,39;704.254,00;-;114.300;48.862;171.652;530.200;-;64.000;4.895.100
Piracanjuba;67.486.517,08;57.476.872,45;69.088.324,64;74.410.256,32;98.550.756;104.833.351;138.889.892;262.030.753;268.826.642;187.333.266;363.595.168
Piranhas;12.278.324,06;11.262.768,56;11.897.675,05;18.277.173,22;20.949.223;38.781.284;37.195.554;110.512.243;115.745.542;61.588.651;110.404.231
Pirenópolis;3.144.021,22;3.186.965,18;2.437.089,50;2.970.168,32;3.147.189;5.498.153;7.251.329;12.999.438;12.740.099;7.953.583;19.341.289
